Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
3,Tymen,X8,2912.4,88.15399933,8.2791996,2.456400156,2.480999947,286.9154968,1,1
3,Tymen,X8,2912.5,87.87239075,8.258099556,2.458400011,2.472499847,287.6958008,1,1
3,Tymen,X8,2912.6,87.78439331,8.28469944,2.457799911,2.4775002,288.322998,1,1
3,Tymen,X8,2912.7,87.69639587,8.180000305,2.446199894,2.487000227,288.5667114,1,1
3,Tymen,X8,2912.8,87.60839844,8.054599762,2.432199955,2.489000082,288.2179871,1,1
3,Tymen,X8,2912.9,87.520401,7.889899731,2.418200016,2.486500025,287.1806946,1,1
3,Tymen,X8,2913,86.9571991,7.805500031,2.404200077,2.486000061,285.538208,1,1
3,Tymen,X8,2913.1,84.49319458,7.677400112,2.396800041,2.490999937,283.5517883,1,1
3,Tymen,X8,2913.2,82.02919769,7.466899872,2.417599916,2.508000135,281.5779114,1,1
2,Tymen,X8,2913.3,79.56519318,7.606100082,2.445600033,2.515500069,279.9499817,1,1
2,Tymen,X8,2913.4,77.10119629,8.006500244,2.473599911,2.514000177,278.8855896,1,1
2,Tymen,X8,2913.5,74.87480164,8.304599762,2.501600027,2.502500057,278.4484253,1,1
2,Tymen,X8,2913.6,73.59880066,8.530100822,2.528800011,2.491000175,278.5864868,1,1
2,Tymen,X8,2913.7,72.32279968,8.688799858,2.552400112,2.489500046,279.1982117,1,1
2,Tymen,X8,2913.8,71.04679871,9.113499641,2.574399948,2.480999947,280.1964111,1,1
2,Tymen,X8,2913.9,69.77079773,9.569399834,2.596400023,2.469500065,281.5402222,1,1
2,Tymen,X8,2914,69.19439697,8.949000359,2.618400097,2.450500011,283.2224121,1,1
2,Tymen,X8,2914.1,71.41640472,8.335899353,2.63079977,2.436499834,285.2380981,1,1
2,Tymen,X8,2914.2,73.63840485,8.149999619,2.602399826,2.430500031,287.5661011,1,1
2,Tymen,X8,2914.3,75.86039734,8.012700081,2.564399958,2.423000097,290.1600037,1,1
2,Tymen,X8,2914.4,78.08239746,7.943200111,2.526399851,2.42050004,292.9168091,1,1
2,Tymen,X8,2914.5,80.27359772,8.266399384,2.488399982,2.417500019,295.6321106,1,1
7,Tymen,X8,2914.6,82.34160614,8.597300529,2.44239974,2.41050005,297.9613037,1,1
7,Tymen,X8,2914.7,84.4095993,8.888299942,2.362400055,2.404500008,299.4607849,1,1
7,Tymen,X8,2914.8,86.4776001,9.088900566,2.274399996,2.388499975,299.6902161,1,1
7,Tymen,X8,2914.9,88.54560852,9.429300308,2.186399937,2.367499828,298.3806152,1,1
7,Tymen,X8,2915,89.91840363,9.626999855,2.098400116,2.349499941,295.5969849,1,1
7,Tymen,X8,2915.1,88.51039124,10.28490067,2.032400131,2.326999903,291.7984924,1,1
7,Tymen,X8,2915.2,87.1023941,12.58080006,2.060000181,2.305000067,287.7279968,1,1
7,Tymen,X8,2915.3,85.69439697,10.33949947,2.110000134,2.298000097,284.1528015,1,1
7,Tymen,X8,2915.4,84.28639984,8.199099541,2.160000086,2.290499926,281.5896912,1,1
7,Tymen,X8,2915.5,83.48120117,7.713000298,2.210000038,2.289499998,280.1380005,1,1
3,Tymen,X8,2915.6,85.08720398,7.165400028,2.257400036,2.347500086,279.5090027,1,1
3,Tymen,X8,2915.7,86.69320679,6.677799702,2.293800116,2.43900013,279.2290039,1,1
3,Tymen,X8,2915.8,88.29920959,6.549900055,2.327800274,2.488500118,278.9159851,1,1
3,Tymen,X8,2915.9,89.90520477,6.561699867,2.361800194,2.493499994,278.4483948,1,1
3,Tymen,X8,2916,90.45080566,6.691800117,2.395800114,2.495500088,277.939209,1,1
3,Tymen,X8,2916.1,86.75479889,6.871600151,2.426000118,2.496999979,277.592804,1,1
3,Tymen,X8,2916.2,83.05879974,7.300400257,2.440000057,2.490999937,277.5924072,1,1
2,Tymen,X8,2916.3,79.3628006,8.173100471,2.450000048,2.490999937,278.0649109,1,1
2,Tymen,X8,2916.4,75.66680145,8.670899391,2.460000038,2.483999968,279.0944214,1,1
2,Tymen,X8,2916.5,72.72320557,8.326299667,2.46999979,2.465000153,280.7185974,1,1
2,Tymen,X8,2916.6,72.78920746,8.008500099,2.47939992,2.457499981,282.9102173,1,1
2,Tymen,X8,2916.7,72.85520172,8.220999718,2.486200094,2.459500074,285.5704041,1,1
2,Tymen,X8,2916.8,72.92120361,8.435200691,2.492200136,2.462500095,288.5194092,1,1
2,Tymen,X8,2916.9,72.98719788,8.854700089,2.498200178,2.462499857,291.501709,1,1
2,Tymen,X8,2917,73.77480316,9.05739975,2.504199982,2.462999821,294.2120056,1,1
2,Tymen,X8,2917.1,77.44879913,8.352300644,2.501600027,2.461999893,296.3529053,1,1
2,Tymen,X8,2917.2,81.12280273,7.968699932,2.462399721,2.459500074,297.6760864,1,1
